title,brand,gender,mrp,discount_percent,price_after_discount,star_rating,num_ratings,product_link,scraped_on
Men Magnificeo Running Shoes,ADIDAS,men,4599,65,1599,4,332,https://www.myntra.com/sports-shoes/adidas/adidas-men-navy--red-woven-design-magnificeo-running-shoes/14782120/buy,2025-10-10T15:37:06.994299+05:30
Pod-Active Men Running Shoes,ADIDAS,men,3799,57,1599,4.4,0,https://www.myntra.com/sports-shoes/adidas/adidas-pod-active-men-running-shoes-/32871627/buy,2025-10-10T15:45:32.496996+05:30
Men Fluidglow Running Shoes,ADIDAS,men,4299,62,1600,4.2,600,https://www.myntra.com/sports-shoes/adidas/adidas-men-teal-blue-fluidglow-woven-design-running-shoes/14782092/buy,2025-10-10T15:32:43.695239+05:30
Cush-Walk Men Walking Shoes,ADIDAS,men,3999,59,1600,4.6,23,https://www.myntra.com/sports-shoes/adidas/adidas-cush-walk-men-walking-shoes/31788586/buy,2025-10-10T15:33:30.032856+05:30
Men Track-gait Running Shoes,ADIDAS,men,4599,65,1609,4.4,65,https://www.myntra.com/sports-shoes/adidas/adidas-men-track-gait-running-shoes/32355655/buy,2025-10-10T15:34:38.127199+05:30
Men Woven Flair Mode Running,ADIDAS,men,4599,65,1609,4,130,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-flair-mode-running-shoes/26517534/buy,2025-10-10T15:41:02.918118+05:30
Adi Revup Men Running Shoes,ADIDAS,men,4599,64,1610,4.6,20,https://www.myntra.com/sports-shoes/adidas/adidas-adi-revup-men-running-shoes/31613983/buy,2025-10-10T15:29:38.705249+05:30
Men Flair Mode Running Shoes,ADIDAS,men,4599,64,1610,3.9,67,https://www.myntra.com/sports-shoes/adidas/adidas-men-flair-mode-running-shoes/29885197/buy,2025-10-10T15:40:40.003370+05:30
Men Comfort Walking Shoes,ADIDAS,men,4599,64,1610,4.1,109,https://www.myntra.com/sports-shoes/adidas/adidas-men-comfort-walking-shoes/26516550/buy,2025-10-10T15:43:28.564252+05:30
Men StreetAhead Running Shoes,ADIDAS,men,2999,46,1619,4.3,116,https://www.myntra.com/sports-shoes/adidas/adidas-men-streetahead-running-shoes/20071248/buy,2025-10-10T15:31:06.907970+05:30
Men Sports Shoes,ADIDAS,men,3599,54,1620,4.1,147,https://www.myntra.com/sports-shoes/adidas/adidas-men-navy-blue--orange-sports-shoes/14523840/buy,2025-10-10T15:53:32.733238+05:30
